intersection,date,timestamp_utc,timestamp_local,time,begin_s,end_s,detector_id,sumo_id,approach,edge_id,movement,count_type,from_edge,to_edge,count,occupancy,speed
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,27,LSA1_E_id27,East,,,,,,54,17,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,28,LSA1_N_id28,North,,,,,,5,6,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,29,LSA1_N_id29,North,,,,,,0,100,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,30,LSA1_N_id30,North,,,,,,47,32,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,39,LSA1_N_id39,North,,,,,,55,13,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,40,LSA1_N_id40,North,,,,,,24,4,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,7,LSA1_W_id7,West,,,,,,41,55,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,8,LSA1_W_id8,West,,,,,,99,20,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,9,LSA1_W_id9,West,,,,,,95,48,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,10,LSA1_W_id10,West,,,,,,120,16,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,11,LSA1_S_id11,South,,,,,,0,0,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,12,LSA1_S_id12,South,,,,,,0,0,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,13,LSA1_E_id13,East,,,,,,33,36,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,14,LSA1_E_id14,East,,,,,,108,19,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,23,LSA1_E_id23,East,,,,,,43,32,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,24,LSA1_E_id24,East,,,,,,81,11,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,25,LSA1_E_id25,East,,,,,,0,100,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,26,LSA1_E_id26,East,,,,,,16,1,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,27,LSA1_E_id27,East,,,,,,70,21,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,28,LSA1_N_id28,North,,,,,,11,11,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,29,LSA1_N_id29,North,,,,,,0,100,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,30,LSA1_N_id30,North,,,,,,49,46,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,39,LSA1_N_id39,North,,,,,,57,19,0
LD-LSA1,2026-03-14,,2026-03-14 08:30:00+00:00,08:30:00,30600,31500,40,LSA1_N_id40,North,,,,,,21,12,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,7,LSA1_W_id7,West,,,,,,44,68,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,8,LSA1_W_id8,West,,,,,,87,16,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,9,LSA1_W_id9,West,,,,,,96,57,0
LD-LSA1,2026-03-14,,2026-03-14 08:45:00+00:00,08:45:00,31500,32400,10,LSA1_W_id10,West,,,,,,107,31,0
