intersection,timestamp,detector_id,count,occupancy,velocity
LDLSA16,2025-09-18 19:00:00+00:00,31,1,0,0
LDLSA16,2025-09-18 19:00:00+00:00,32,0,0,0
LDLSA16,2025-09-18 19:00:00+00:00,33,8,2,0
LDLSA16,2025-09-18 19:15:00+00:00,1,37,22,0
LDLSA16,2025-09-18 19:15:00+00:00,2,12,6,0
LDLSA16,2025-09-18 19:15:00+00:00,3,32,29,0
LDLSA16,2025-09-18 19:15:00+00:00,4,2,1,0
LDLSA16,2025-09-18 19:15:00+00:00,5,32,11,0
LDLSA16,2025-09-18 19:15:00+00:00,6,8,1,0
LDLSA16,2025-09-18 19:15:00+00:00,7,13,7,0
LDLSA16,2025-09-18 19:15:00+00:00,8,55,35,0
LDLSA16,2025-09-18 19:15:00+00:00,9,24,25,0
LDLSA16,2025-09-18 19:15:00+00:00,10,41,19,0
LDLSA16,2025-09-18 19:15:00+00:00,11,25,3,0
LDLSA16,2025-09-18 19:15:00+00:00,12,0,0,0
LDLSA16,2025-09-18 19:15:00+00:00,13,71,13,0
LDLSA16,2025-09-18 19:15:00+00:00,14,57,8,0
LDLSA16,2025-09-18 19:15:00+00:00,15,59,16,0
LDLSA16,2025-09-18 19:15:00+00:00,16,2,0,0
LDLSA16,2025-09-18 19:15:00+00:00,17,2,0,0
LDLSA16,2025-09-18 19:15:00+00:00,18,1,0,0
LDLSA16,2025-09-18 19:15:00+00:00,19,1,0,0
LDLSA16,2025-09-18 19:15:00+00:00,20,5,0,0
LDLSA16,2025-09-18 19:15:00+00:00,21,3,0,0
LDLSA16,2025-09-18 19:15:00+00:00,22,0,0,0
LDLSA16,2025-09-18 19:15:00+00:00,23,0,0,0
LDLSA16,2025-09-18 19:15:00+00:00,24,0,100,0
LDLSA16,2025-09-18 19:15:00+00:00,25,0,0,0
LDLSA16,2025-09-18 19:15:00+00:00,26,0,0,0
LDLSA16,2025-09-18 19:15:00+00:00,27,0,0,0
LDLSA16,2025-09-18 19:15:00+00:00,28,0,0,0
LDLSA16,2025-09-18 19:15:00+00:00,29,0,0,0
LDLSA16,2025-09-18 19:15:00+00:00,30,0,0,0
LDLSA16,2025-09-18 19:15:00+00:00,31,0,0,0
LDLSA16,2025-09-18 19:15:00+00:00,32,0,0,0
LDLSA16,2025-09-18 19:15:00+00:00,33,15,4,0
LDLSA16,2025-09-18 19:30:00+00:00,1,29,6,0
LDLSA16,2025-09-18 19:30:00+00:00,2,11,2,0
LDLSA16,2025-09-18 19:30:00+00:00,3,18,29,0
LDLSA16,2025-09-18 19:30:00+00:00,4,1,0,0
LDLSA16,2025-09-18 19:30:00+00:00,5,19,12,0
LDLSA16,2025-09-18 19:30:00+00:00,6,1,0,0
LDLSA16,2025-09-18 19:30:00+00:00,7,21,5,0
LDLSA16,2025-09-18 19:30:00+00:00,8,32,27,0
LDLSA16,2025-09-18 19:30:00+00:00,9,24,28,0
LDLSA16,2025-09-18 19:30:00+00:00,10,26,18,0
LDLSA16,2025-09-18 19:30:00+00:00,11,24,11,0
LDLSA16,2025-09-18 19:30:00+00:00,12,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,13,53,9,0
LDLSA16,2025-09-18 19:30:00+00:00,14,47,7,0
LDLSA16,2025-09-18 19:30:00+00:00,15,32,5,0
LDLSA16,2025-09-18 19:30:00+00:00,16,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,17,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,18,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,19,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,20,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,21,3,0,0
LDLSA16,2025-09-18 19:30:00+00:00,22,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,23,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,24,0,100,0
LDLSA16,2025-09-18 19:30:00+00:00,25,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,26,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,27,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,28,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,29,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,30,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,31,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,32,0,0,0
LDLSA16,2025-09-18 19:30:00+00:00,33,9,1,0
LDLSA16,2025-09-18 19:45:00+00:00,1,20,5,0
LDLSA16,2025-09-18 19:45:00+00:00,2,13,2,0
LDLSA16,2025-09-18 19:45:00+00:00,3,27,35,0
LDLSA16,2025-09-18 19:45:00+00:00,4,2,0,0
LDLSA16,2025-09-18 19:45:00+00:00,5,25,18,0
LDLSA16,2025-09-18 19:45:00+00:00,6,4,0,0
LDLSA16,2025-09-18 19:45:00+00:00,7,19,10,0
LDLSA16,2025-09-18 19:45:00+00:00,8,42,23,0
LDLSA16,2025-09-18 19:45:00+00:00,9,16,19,0
LDLSA16,2025-09-18 19:45:00+00:00,10,35,14,0
LDLSA16,2025-09-18 19:45:00+00:00,11,18,7,0
LDLSA16,2025-09-18 19:45:00+00:00,12,0,0,0
LDLSA16,2025-09-18 19:45:00+00:00,13,52,9,0
LDLSA16,2025-09-18 19:45:00+00:00,14,47,6,0
LDLSA16,2025-09-18 19:45:00+00:00,15,48,6,0
LDLSA16,2025-09-18 19:45:00+00:00,16,2,0,0
LDLSA16,2025-09-18 19:45:00+00:00,17,1,0,0
LDLSA16,2025-09-18 19:45:00+00:00,18,0,0,0
LDLSA16,2025-09-18 19:45:00+00:00,19,2,0,0
LDLSA16,2025-09-18 19:45:00+00:00,20,0,0,0
LDLSA16,2025-09-18 19:45:00+00:00,21,0,0,0
LDLSA16,2025-09-18 19:45:00+00:00,22,0,0,0
LDLSA16,2025-09-18 19:45:00+00:00,23,0,0,0
LDLSA16,2025-09-18 19:45:00+00:00,24,0,100,0
LDLSA16,2025-09-18 19:45:00+00:00,25,0,0,0
