timestamp,west_left,west_straight,west_right,west_total,east_total,north_total,south_total,corridor_out
2025-09-07 09:30:00+00:00,5,41,0,46,110,31,67,83
2025-09-07 09:45:00+00:00,6,63,0,69,122,26,82,106
2025-09-07 10:00:00+00:00,8,53,0,61,96,28,76,89
2025-09-07 10:15:00+00:00,7,60,0,67,102,48,74,101
2025-09-07 10:30:00+00:00,7,54,0,61,104,37,54,100
2025-09-07 10:45:00+00:00,5,68,0,73,117,37,76,121
2025-09-07 11:00:00+00:00,5,39,0,44,93,38,58,69
2025-09-07 11:15:00+00:00,5,59,0,64,112,33,72,95
2025-09-07 11:30:00+00:00,5,57,0,62,111,47,86,103
2025-09-07 11:45:00+00:00,10,67,0,77,128,33,84,111
2025-09-07 12:00:00+00:00,6,63,0,69,121,32,67,101
2025-09-07 12:15:00+00:00,5,75,0,80,111,38,62,105
2025-09-07 12:30:00+00:00,8,61,0,69,117,30,80,107
2025-09-07 12:45:00+00:00,8,71,0,79,101,36,89,118
2025-09-07 13:00:00+00:00,9,77,0,86,126,46,91,134
2025-09-07 13:15:00+00:00,8,74,0,82,103,37,76,111
2025-09-07 13:30:00+00:00,8,55,0,63,98,37,100,111
2025-09-07 13:45:00+00:00,6,76,0,82,84,53,58,110
2025-09-07 14:00:00+00:00,14,59,0,73,94,34,75,109
2025-09-07 14:15:00+00:00,5,66,0,71,107,38,49,97
2025-09-07 14:30:00+00:00,7,59,0,66,103,39,60,95
2025-09-07 14:45:00+00:00,10,80,0,90,100,42,87,119
2025-09-07 15:00:00+00:00,9,75,0,84,140,42,74,121
2025-09-07 15:15:00+00:00,12,65,0,77,116,41,77,117
2025-09-07 15:30:00+00:00,6,61,0,67,115,43,81,113
2025-09-07 15:45:00+00:00,6,89,0,95,120,36,95,133
2025-09-07 16:00:00+00:00,9,73,0,82,132,44,71,121
2025-09-07 16:15:00+00:00,10,74,0,84,104,32,87,116
2025-09-07 16:30:00+00:00,10,61,5,76,132,24,74,107
2025-09-07 16:45:00+00:00,10,59,0,69,90,26,67,99
2025-09-07 17:00:00+00:00,5,30,0,35,98,43,71,63
2025-09-07 17:15:00+00:00,4,56,0,60,92,31,80,105
2025-09-07 17:30:00+00:00,7,47,0,54,102,28,71,91
2025-09-07 17:45:00+00:00,7,45,0,52,70,25,60,88
2025-09-07 18:00:00+00:00,8,48,0,56,99,22,46,83
2025-09-07 18:15:00+00:00,8,39,0,47,79,35,58,70
2025-09-07 18:30:00+00:00,6,32,0,38,68,36,50,61
2025-09-07 18:45:00+00:00,5,43,0,48,68,17,62,86
2025-09-07 19:00:00+00:00,4,23,6,33,42,24,41,55
2025-09-07 19:15:00+00:00,6,26,6,38,39,21,43,52
2025-09-07 19:30:00+00:00,2,22,1,25,36,13,25,43
2025-09-07 19:45:00+00:00,4,19,1,24,30,11,41,38
2025-09-07 20:00:00+00:00,2,11,4,17,29,12,38,33
2025-09-07 20:15:00+00:00,3,14,0,17,39,12,21,25
2025-09-07 20:30:00+00:00,2,8,0,10,31,4,20,13
2025-09-07 20:45:00+00:00,1,5,2,8,27,9,25,15
2025-09-07 21:00:00+00:00,2,10,0,12,29,5,18,22
2025-09-07 21:15:00+00:00,1,6,1,8,26,7,14,11
2025-09-07 21:30:00+00:00,1,4,1,6,12,3,11,8
