scenario,lsa,approach,signal_group,analysis_begin_s,analysis_end_s,bin_no,bin_label,sim_count_15min,sim_flow_mean,sim_occupancy_mean,n_detectors_used,sim_count_hourly_equivalent
weekend_evening,LSA9,west,K1,2700.0,3600.0,4,45-60,130.0,260.0,27.48,2,520.0
weekend_morning,LSA1,east,K4,0.0,900.0,1,00-15,66.0,128.0,32.925,2,264.0
weekend_morning,LSA1,east,K4,900.0,1800.0,2,15-30,68.0,136.0,30.75,2,272.0
weekend_morning,LSA1,east,K4,1800.0,2700.0,3,30-45,77.0,150.0,31.71,2,308.0
weekend_morning,LSA1,east,K4,2700.0,3600.0,4,45-60,65.0,134.0,33.68,2,260.0
weekend_morning,LSA1,east,K5,0.0,900.0,1,00-15,22.0,84.0,17.78,1,88.0
weekend_morning,LSA1,east,K5,900.0,1800.0,2,15-30,11.0,48.0,18.77,1,44.0
weekend_morning,LSA1,east,K5,1800.0,2700.0,3,30-45,15.0,60.0,0.76,1,60.0
weekend_morning,LSA1,east,K5,2700.0,3600.0,4,45-60,21.0,80.0,18.72,1,84.0
weekend_morning,LSA1,east,K6,0.0,900.0,1,00-15,53.0,212.0,6.16,1,212.0
weekend_morning,LSA1,east,K6,900.0,1800.0,2,15-30,58.0,232.0,8.32,1,232.0
