scenario,lsa,approach,signal_group,analysis_begin_s,analysis_end_s,bin_no,bin_label,sim_count_15min,sim_flow_mean,sim_occupancy_mean,n_detectors_used,sim_count_hourly_equivalent,cycle_time_s,green_time_s,green_share,demand_vph,capacity_vph,v_c_ratio,status,comparison_note
weekday_morning,LSA1,north,K7,2700.0,3600.0,4,45-60,87.0,174.0,43.705,2,348.0,82.0,22.0,0.2682926829268293,348.0,482.9268292682927,0.7206060606060606,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,north,K8,0.0,900.0,1,00-15,22.0,84.0,22.81,1,88.0,82.0,31.0,0.3780487804878049,88.0,680.4878048780488,0.1293189964157706,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,north,K8,900.0,1800.0,2,15-30,33.0,136.0,28.18,1,132.0,82.0,31.0,0.3780487804878049,132.0,680.4878048780488,0.1939784946236559,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,north,K8,1800.0,2700.0,3,30-45,38.0,152.0,33.06,1,152.0,82.0,31.0,0.3780487804878049,152.0,680.4878048780488,0.22336917562724015,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,north,K8,2700.0,3600.0,4,45-60,29.0,116.0,26.06,1,116.0,82.0,31.0,0.3780487804878049,116.0,680.4878048780488,0.17046594982078853,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,south,K3,0.0,900.0,1,00-15,0.0,0.0,0.0,1,0.0,82.0,0.0,0.0,0.0,0.0,,not calculated,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,south,K3,900.0,1800.0,2,15-30,0.0,0.0,0.0,1,0.0,82.0,0.0,0.0,0.0,0.0,,not calculated,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,south,K3,1800.0,2700.0,3,30-45,0.0,0.0,0.0,1,0.0,82.0,0.0,0.0,0.0,0.0,,not calculated,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,south,K3,2700.0,3600.0,4,45-60,0.0,0.0,0.0,1,0.0,82.0,0.0,0.0,0.0,0.0,,not calculated,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,west,K1,0.0,900.0,1,00-15,47.0,188.0,79.65,1,188.0,82.0,9.0,0.1097560975609756,188.0,197.56097560975607,0.9516049382716051,near capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,west,K1,900.0,1800.0,2,15-30,50.0,204.0,90.43,1,200.0,82.0,9.0,0.1097560975609756,200.0,197.56097560975607,1.0123456790123457,over capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,west,K1,1800.0,2700.0,3,30-45,39.0,152.0,75.68,1,156.0,82.0,9.0,0.1097560975609756,156.0,197.56097560975607,0.7896296296296298,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,west,K1,2700.0,3600.0,4,45-60,42.0,172.0,65.51,1,168.0,82.0,9.0,0.1097560975609756,168.0,197.56097560975607,0.8503703703703704,near capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,west,K2,0.0,900.0,1,00-15,80.0,320.0,47.49,1,320.0,82.0,33.0,0.4024390243902439,320.0,724.3902439024391,0.44175084175084167,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,west,K2,900.0,1800.0,2,15-30,75.0,300.0,41.4,1,300.0,82.0,33.0,0.4024390243902439,300.0,724.3902439024391,0.4141414141414141,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,west,K2,1800.0,2700.0,3,30-45,80.0,320.0,43.94,1,320.0,82.0,33.0,0.4024390243902439,320.0,724.3902439024391,0.44175084175084167,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA1,west,K2,2700.0,3600.0,4,45-60,77.0,308.0,40.3,1,308.0,82.0,33.0,0.4024390243902439,308.0,724.3902439024391,0.4251851851851851,below capacity,simulation-side only; no direct real saturation comparison
weekday_morning,LSA10,east,K4,0.0,900.0,1,00-15,76.0,146.0,2.31,2,304.0,86.0,37.0,0.4302325581395348,304.0,774.4186046511627,0.3925525525525526,below capacity,usable for simulation saturation comparison
weekday_morning,LSA10,east,K4,900.0,1800.0,2,15-30,95.0,190.0,6.8950000000000005,2,380.0,86.0,37.0,0.4302325581395348,380.0,774.4186046511627,0.49069069069069077,below capacity,usable for simulation saturation comparison
weekday_morning,LSA10,east,K4,1800.0,2700.0,3,30-45,102.0,204.0,7.175000000000001,2,408.0,86.0,37.0,0.4302325581395348,408.0,774.4186046511627,0.5268468468468469,below capacity,usable for simulation saturation comparison
weekday_morning,LSA10,east,K4,2700.0,3600.0,4,45-60,90.0,180.0,7.76,2,360.0,86.0,37.0,0.4302325581395348,360.0,774.4186046511627,0.46486486486486495,below capacity,usable for simulation saturation comparison
weekday_morning,LSA10,north_east,K3,0.0,900.0,1,00-15,7.0,28.0,0.9,1,28.0,86.0,14.0,0.1627906976744186,28.0,293.0232558139535,0.09555555555555556,below capacity,usable for simulation saturation comparison
